# object_id,ra,dec,z
43158721903204100,150.026393,1.724370,0.219100
43158859342179123,149.884840,1.731710,1.520600
43158721903228044,150.088362,1.747097,1.186100
43158584464251964,150.198358,1.749432,0.254600
43158584464276740,150.232764,1.756933,2.023100
43158996781124471,149.597868,1.759966,1.427400
43158859342158661,149.932126,1.764111,1.553700
43158863637119255,149.905429,1.766552,2.723500
43158588759212740,150.260010,1.776591,0.971200
43159001076073223,149.621471,1.782713,1.285700
43158588759213131,150.173427,1.784831,0.717000
43159138515043940,149.548261,1.802055,0.477700
43158726198173835,150.069667,1.806829,1.056900
43158451320267536,150.470348,1.835048,2.760500
43158726198174315,149.974093,1.841463,1.129700
43158588759239434,150.242990,1.842311,1.597200
43158451320284836,150.490962,1.851412,0.825700
43158451320285405,150.355290,1.855995,0.951700
43158726198169716,150.080663,1.871296,1.803500
43158726198170030,150.092098,1.878982,1.364300
43158726198170602,150.084096,1.893493,1.193300
43158726198170627,150.041436,1.894130,2.789300
43158313881332424,150.680721,1.897151,2.829200
43158451320288459,150.353259,1.904960,0.115000
43158863637128588,149.829603,1.907605,1.370900
43158726198195148,150.126814,1.916285,3.332600
43158588759243402,150.299435,1.916613,0.217000
43158588759218824,150.167046,1.921600,1.891300
43159005371040281,149.689033,1.960428,0.745100
43158318176294078,150.568387,1.968843,1.397800
43158455615227189,150.503163,1.976627,0.773600
43158318176273811,150.689454,1.984595,0.677900
43159005371041227,149.723114,1.984866,0.345800
43158318176280582,150.599554,1.988284,2.016300
43158730493134621,149.992400,1.992891,0.702100
43159005371062995,149.713179,1.996627,1.101900
43159142809995260,149.528688,2.003488,2.520800
43158455615228996,150.513793,2.019955,0.316000
43158455615253199,150.423006,2.026800,2.748400
43158180737321988,150.736463,2.033416,0.544100
43158730493136690,150.086989,2.045832,1.166500
43158730493161347,150.143827,2.062431,0.653800
43158318176299100,150.567114,2.071460,1.385500
43158318176299672,150.615491,2.079133,0.638300
43159005371044915,149.688932,2.079813,1.634000
43158180737344660,150.777881,2.084431,1.284300
43159005371046112,149.739039,2.112968,1.836600
43158455615259580,150.433901,2.119170,1.321000
43158180737346311,150.722519,2.116698,1.091500
43158593054190808,150.175392,2.122206,1.072100
43158180737347409,150.717351,2.137147,1.143400
43158597349155431,150.180878,2.151176,0.209500
43159147104961899,149.570311,2.170704,3.756600
43158597349173732,150.230816,2.198240,1.018700
43158185032288447,150.768088,2.197104,0.603400
43158734788110069,150.032258,2.231659,1.294400
43158872227058014,149.871152,2.241534,3.238300
43158734788130789,150.007356,2.244248,0.872400
43158872227081527,149.865411,2.244185,1.151800
43158872227081860,149.903663,2.248183,2.624100
43159009666037005,149.660760,2.293021,0.518500
43158734788136532,150.086710,2.294568,0.735900
43158459910200658,150.345916,2.312553,1.699000
43158597349154436,150.248724,2.313965,2.157100
43158872227086610,149.929181,2.322134,0.952500
43158876522045205,149.889797,2.350361,1.453100
43158876522045647,149.940956,2.354099,0.804300
43159013960996663,149.616649,2.354396,1.143600
43158326766209159,150.683526,2.374743,1.224700
43158739083091660,150.021644,2.375122,2.925200
43158464205163289,150.402170,2.387562,0.641700
43158601644140219,150.209373,2.389278,2.282700
43158601644118906,150.285594,2.438243,1.356400
